5	4	1	9	1	77.95424251
9	10	8	6	5	591.8907563
0	7	10	6	1	1076.778151
4	8	6	3	4	293.908485
3	2	1	5	7	81.89279003
9	9	6	9	8	299.6339401
3	4	2	4	6	87.61235995
7	9	1	7	10	85.4509804
4	1	2	8	2	85.80617997
3	7	5	1	0	201
2	5	1	2	9	79.70926996
5	7	5	9	4	204.81697
9	7	4	3	2	140.9542425
4	2	0	3	3	77.43136376
7	5	2	10	7	91
4	1	8	2	4	589.20412
8	10	4	2	3	140.90309
8	0	2	10	2	86
2	1	1	9	4	80.81697004
9	2	10	5	0	1076
5	2	1	4	7	81.21441994
3	8	9	1	0	805
4	7	9	4	10	811.0205999
6	0	4	5	0	140
7	9	9	7	4	808.3803922
5	7	9	10	7	812
0	4	1	4	2	78.20411998
7	3	9	5	7	809.89279
1	1	3	10	10	113
3	10	8	8	8	595.2247199
9	10	1	6	7	82.44705875
9	9	5	1	3	201
0	7	9	1	3	805
2	2	0	9	2	77.90848502
10	0	2	5	1	84.69897
7	9	9	9	4	808.81697
3	5	0	7	1	76.84509804
10	0	6	1	1	292
7	0	8	3	8	591.81697
4	7	3	9	9	111.5881826
10	1	5	8	9	209.1278099
10	9	2	6	6	88.6689075
0	8	8	9	3	590.8627275
7	7	6	8	6	297.4185399
6	0	7	10	6	425
3	4	2	4	0	84
5	9	1	7	4	80.38039216
10	1	8	2	3	588.90309
6	3	3	8	0	103
1	7	6	7	8	298.7607843
0	4	2	8	6	89.41853992
6	10	7	2	2	419.60206
1	1	1	7	0	77
5	3	7	10	9	428
0	10	1	4	6	80.61235995
7	9	0	10	6	82
0	10	5	9	4	204.81697
7	2	3	6	3	105.3344538
0	0	1	5	8	82.59176003
0	6	1	6	2	78.5563025
10	2	8	1	3	588
2	5	10	5	7	1080.89279
10	8	0	9	9	84.58818258
4	6	10	7	3	1078.535294
10	10	10	3	5	1078.385606
5	4	9	7	2	806.6901961
10	3	10	7	2	1077.690196
2	0	1	8	0	77
8	4	1	3	8	80.81697004
4	4	8	5	4	590.79588
7	1	4	10	9	149
9	10	5	4	2	202.20412
7	2	9	8	8	812.2247199
3	2	4	5	4	142.79588
0	3	8	3	5	590.3856063
4	8	7	10	9	428
0	9	5	10	10	211
5	4	10	7	0	1076
1	0	9	10	4	809
1	6	7	10	8	427
9	8	7	1	3	419
9	10	0	8	5	80.51544993
0	2	7	9	5	423.7712125
9	0	0	5	0	76
4	8	5	6	2	202.5563025
1	5	8	5	3	590.09691
9	1	8	10	9	597
10	8	3	8	2	104.80618
4	6	1	5	7	81.89279003
