0	10	9	9	3	0
5	2	2	6	0	0
1	6	2	5	10	600
7	5	2	7	6	2940
8	0	6	0	8	0
9	6	7	3	0	0
7	2	7	4	1	392
5	7	3	10	4	4200
6	4	3	1	8	576
6	10	2	5	10	6000
7	6	8	4	2	2688
5	6	7	8	7	11760
7	4	10	3	9	7560
5	1	8	10	1	400
8	4	6	9	6	10368
2	3	2	9	7	756
2	7	5	8	0	0
8	2	3	10	1	480
3	6	2	1	8	288
1	10	4	5	4	800
9	6	6	8	5	12960
1	10	0	0	9	0
10	10	7	7	6	29400
0	2	4	7	4	0
6	2	10	8	8	7680
9	0	4	4	6	0
7	4	1	8	4	896
5	9	10	1	0	0
6	0	7	2	9	0
8	8	5	5	5	8000
8	4	3	5	8	3840
1	4	10	5	5	1000
8	1	5	4	8	1280
6	6	7	2	1	504
2	6	6	8	2	1152
9	7	9	2	8	9072
7	9	10	9	2	11340
10	7	7	9	6	26460
9	10	1	3	4	1080
6	3	6	3	4	1296
3	10	1	1	9	270
2	2	5	5	6	600
4	2	8	3	9	1728
4	7	7	1	10	1960
1	10	7	6	8	3360
2	0	2	4	10	0
6	7	8	1	5	1680
2	1	1	6	3	36
1	3	4	8	7	672
9	0	1	4	6	0
5	10	8	8	2	6400
10	2	8	9	3	4320
10	4	2	2	4	640
3	7	1	2	1	42
2	0	1	6	5	0
6	3	3	7	3	1134
8	3	1	7	9	1512
6	7	9	8	7	21168
10	4	2	0	6	0
6	3	0	6	4	0
3	4	4	0	10	0
5	8	7	1	9	2520
0	10	5	6	1	0
4	3	8	2	6	1152
0	3	1	0	1	0
8	0	4	4	6	0
1	7	7	1	7	343
3	5	1	0	6	0
10	0	9	9	1	0
0	7	10	4	0	0
10	5	10	0	1	0
2	3	10	4	10	2400
8	3	4	4	7	2688
7	2	0	2	0	0
4	6	0	7	10	0
0	2	3	0	9	0
8	9	0	5	9	0
10	10	1	7	2	1400
6	7	2	2	4	672
8	3	4	7	3	2016
5	6	1	0	0	0
10	2	7	1	8	1120
0	1	1	8	1	0
0	4	10	6	3	0
2	9	10	6	9	9720
0	4	1	4	4	0
4	9	5	10	5	9000
2	0	7	2	2	0
0	7	10	10	7	0
5	6	7	0	1	0
2	1	6	3	4	144
0	4	9	9	7	0
0	9	9	9	3	0
7	1	4	5	1	140
1	5	0	6	6	0
0	2	6	3	9	0
0	10	9	10	9	0
5	4	3	3	4	720
3	2	9	10	3	1620
3	7	6	10	8	10080
