,dataset,Rils-Rols,AIFeynman,Operon,AFP_FE,AFP,BSR,DSR,EPLEX,FEAT,FFX,GP-GOMEA,ITEA,MRGP,SBP-GP,gplearn,noise
0,strogatz_bacres1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
1,strogatz_bacres2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
2,strogatz_barmag1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.001
3,strogatz_barmag2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.001
4,strogatz_glider1,70,0.0,0.0,30.0,50.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
5,strogatz_glider2,60,100.0,0.0,50.0,30.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.001
6,strogatz_lv1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
7,strogatz_lv2,10,80.0,0.0,10.0,10.0,0.0,20.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.001
8,strogatz_predprey1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
9,strogatz_predprey2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
10,strogatz_shearflow1,0,80.0,0.0,30.0,0.0,0.0,100.0,20.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.001
11,strogatz_shearflow2,90,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
12,strogatz_vdp1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
13,strogatz_vdp2,100,50.0,70.0,90.0,90.0,10.0,50.0,80.0,0.0,0.0,10.0,100.0,0.0,0.0,100.0,0.001
